VBTrue	LHTrue	LHTrue	LHTrue	LHTrue	LHTrue	LHTrue	LHTrue	LHTrue	VETrue	FDTrue	BBTrue	BBTrue	FETrue	VBTrue	LHTrue	FETrue	VBTrue	LHTrue	VETrue	
LVTrue	VBTrue	LHTrue	VETrue	FBTrue	FBTrue	FDTrue	BBTrue	VETrue	VDTrue	VETrue	FCTrue	BDTrue	LHTrue	BETrue	VBTrue	BBTrue	BCTrue	FETrue	FCTrue	
FCTrue	FCTrue	FBTrue	BDTrue	BETrue	BDTrue	VETrue	FCTrue	VDTrue	LHTrue	BCTrue	BBTrue	BCTrue	VETrue	BDTrue	BETrue	VDTrue	BBTrue	LHTrue	FETrue	
FBTrue	FDTrue	VCTrue	FCTrue	VDTrue	BCTrue	BETrue	FDTrue	LHTrue	LHTrue	LHTrue	BCTrue	VETrue	FCTrue	FCTrue	VDTrue	FETrue	VDTrue	LHTrue	FETrue	
VDTrue	LHTrue	BBTrue	BBTrue	LHTrue	FETrue	BDTrue	BBTrue	LHTrue	BBTrue	LHTrue	FETrue	BDTrue	BBTrue	BBTrue	LHTrue	BBTrue	LHTrue	BBTrue	VETrue	
FBTrue	FBTrue	FCTrue	BDTrue	VETrue	FBTrue	BDTrue	BCTrue	FETrue	BDTrue	FETrue	VBTrue	BETrue	FCTrue	VDTrue	FETrue	BDTrue	VETrue	LVTrue	FCTrue	
VDTrue	BCTrue	VETrue	FCTrue	FCTrue	LVTrue	BDTrue	FETrue	VBTrue	VCTrue	FBTrue	FCTrue	BDTrue	LHTrue	BBTrue	VETrue	FCTrue	FCTrue	VDTrue	FETrue	
FDTrue	LHTrue	BCTrue	BBTrue	FETrue	BDTrue	BETrue	VBTrue	BETrue	FDTrue	BCTrue	BBTrue	BCTrue	VETrue	LVTrue	BDTrue	BBTrue	LHTrue	BBTrue	FETrue	
VBTrue	LHTrue	BBTrue	BCTrue	LHTrue	VCTrue	LVTrue	LVTrue	LVTrue	FDTrue	LHTrue	BETrue	VBTrue	VCTrue	LVTrue	LVTrue	VDTrue	VETrue	BDTrue	FETrue	
LVTrue	FDTrue	VCTrue	FDTrue	BBTrue	BBTrue	BETrue	FCTrue	LVTrue	FDTrue	BBTrue	BETrue	FCTrue	FDTrue	BETrue	VDTrue	VETrue	LVTrue	BDTrue	VETrue	
LVTrue	VBTrue	LHTrue	VETrue	FCTrue	LVTrue	BDTrue	VETrue	BDTrue	FETrue	LVTrue	BDTrue	FETrue	FDTrue	VCTrue	FDTrue	BETrue	FCTrue	FCTrue	LVTrue	
FCTrue	FCTrue	VBTrue	BCTrue	BBTrue	BETrue	FCTrue	FCTrue	BDTrue	VETrue	LVTrue	VDTrue	FETrue	VBTrue	BBTrue	BBTrue	VCTrue	VBTrue	FETrue	LVTrue	
VBTrue	BBTrue	BCTrue	FETrue	LVTrue	BDTrue	VETrue	FDTrue	BETrue	LVTrue	BDTrue	FETrue	VBTrue	BETrue	LVTrue	FCTrue	VBTrue	VCTrue	FDTrue	BETrue	
LVTrue	BDTrue	VETrue	FDTrue	BETrue	LVTrue	FCTrue	FBTrue	LVTrue	LVTrue	BDTrue	VETrue	FCTrue	LVTrue	BDTrue	BBTrue	BETrue	VBTrue	BBTrue	BETrue	
FCTrue	LVTrue	LVTrue	FDTrue	VCTrue	BDTrue	BBTrue	VCTrue	FCTrue	BDTrue	BETrue	FCTrue	VBTrue	BETrue	LVTrue	FCTrue	FCTrue	FCTrue	LVTrue	LVTrue	
FDTrue	BETrue	VDTrue	VETrue	FBTrue	LVTrue	BDTrue	BBTrue	FETrue	FCTrue	BDTrue	FETrue	LVTrue	LVTrue	BDTrue	VETrue	VBTrue	BBTrue	BETrue	LVTrue	
VBTrue	BCTrue	VETrue	FCTrue	BDTrue	BETrue	LVTrue	VDTrue	BBTrue	FETrue	LVTrue	VBTrue	BETrue	LVTrue	LVTrue	LVTrue	LVTrue	LVTrue	FCTrue	LVTrue	
LVTrue	VBTrue	VCTrue	VBTrue	BETrue	LVTrue	VDTrue	VETrue	VDTrue	FETrue	FCTrue	LVTrue	LVTrue	FCTrue	LVTrue	FCTrue	FCTrue	BDTrue	FETrue	FCTrue	
LVTrue	FCTrue	VBTrue	VCTrue	LVTrue	LVTrue	VBTrue	BCTrue	BBTrue	FETrue	VBTrue	BETrue	FCTrue	FDTrue	VCTrue	FDTrue	BBTrue	BCTrue	BBTrue	VETrue	
VDTrue	FETrue	FCTrue	FDTrue	VCTrue	FCTrue	VDTrue	FETrue	FCTrue	FDTrue	VCTrue	VDTrue	LHTrue	FETrue	FDTrue	LHTrue	VCTrue	FDTrue	VCTrue	FCTrue	
